"","rent","bedroom","livingroom","bathroom","area","room","floor_grp","subway","region","heating"
"262",2507,3,1,1,14,"次卧","低楼层","是","通州","自采暖"
"263",1773,5,1,1,6,"次卧","高楼层","是","顺义","集中供暖"
"264",2562,2,1,1,17,"主卧","高楼层","是","大兴","集中供暖"
"265",2467,4,1,1,10,"次卧","中楼层","是","顺义","集中供暖"
"266",2524,2,1,1,9,"主卧","高楼层","是","大兴","自采暖"
"267",3391,2,1,1,11,"次卧","低楼层","是","石景山","集中供暖"
"268",3568,3,1,1,16,"主卧","高楼层","否","海淀","集中供暖"
"269",2410,2,1,1,11,"主卧","低楼层","是","通州","集中供暖"
"270",3155,2,1,1,16,"主卧","低楼层","是","通州","集中供暖"
"271",2722,2,1,1,18,"主卧","低楼层","是","通州","集中供暖"
"272",1815,3,1,1,15,"主卧","中楼层","是","房山","集中供暖"
"273",2631,5,1,1,24,"主卧","低楼层","是","通州","集中供暖"
"274",2381,2,1,1,10,"次卧","中楼层","是","通州","集中供暖"
"275",2187,2,1,1,11,"次卧","高楼层","是","顺义","集中供暖"
"276",3128,2,1,1,9,"次卧","低楼层","是","丰台","集中供暖"
"277",2387,2,1,1,8,"次卧","中楼层","是","大兴","集中供暖"
"278",3841,3,1,1,14,"次卧","低楼层","是","海淀","集中供暖"
"279",3558,2,1,1,18,"主卧","低楼层","否","昌平","集中供暖"
"280",2100,3,1,1,11,"次卧","低楼层","是","通州","自采暖"
"281",2672,3,1,1,11,"主卧","中楼层","是","通州","集中供暖"
"282",2319,2,1,1,8,"次卧","中楼层","是","通州","集中供暖"
"283",2125,3,1,1,10,"次卧","低楼层","是","通州","集中供暖"
"284",3774,2,1,1,18,"主卧","高楼层","是","昌平","自采暖"
"285",2889,2,1,1,18,"主卧","中楼层","是","大兴","集中供暖"
"286",2794,2,1,1,10,"主卧","低楼层","否","丰台","集中供暖"
"287",2766,3,1,1,16,"主卧","中楼层","是","石景山","集中供暖"
